SHELF, LAT, LON, TrackID, DATE
PineIsland, -74.9050, -100.5240, 523, 2021-01-27
PineIsland, -74.9050, -100.5240, 210, 2020-10-07
PineIsland, -74.9050, -100.5240, 965, 2020-11-26
Bach, -72.2678, -72.6576, 1352, 2018-12-26
Bach, -72.2678, -72.6576, 1352, 2019-12-24
Bach, -72.2678, -72.6576, 1352, 2021-12-20
Bach, -72.2678, -72.6576, 1352, 2018-11-02
Sulzberger, -76.8846, -150.2364, 327, 2019-01-18
Sulzberger, -76.8846, -150.2364, 327, 2019-10-18
Sulzberger, -76.8846, -150.2364, 327, 2020-01-17
Sulzberger, -76.8846, -150.2364, 273, 2019-01-15
Sulzberger, -76.8846, -150.2364, 273, 2020-01-13
Sulzberger, -76.8846, -150.2364, 273, 2021-01-10
Sulzberger, -76.8846, -150.2364, 715, 2019-11-12
Sulzberger, -76.8846, -150.2364, 715, 2020-11-10
Sulzberger, -76.8846, -150.2364, 715, 2021-11-08
